Nome: BELO HORIZONTE CONFINS, BR
Codigo Estacao: GHCND:BRM00083566
Latitude: -19.833
Longitude: -43.917
Altitude: 0
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-01-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);
2023-01-01;1,0;;19,4;
2023-01-02;4,1;;18,9;
2023-01-03;0,8;;19,4;
2023-01-04;21,1;;18,3;
2023-01-05;10,9;;18,3;
2023-01-06;11,9;;20,0;
2023-01-07;8,9;;18,9;
2023-01-08;16,0;;19,4;
2023-01-09;14,0;;18,3;
2023-01-10;13,0;;18,9;
2023-01-11;4,1;;18,9;
2023-01-12;23,9;;18,3;
2023-01-13;1,0;;18,3;
2023-01-14;8,9;;;
2023-01-15;0,0;;20,6;
2023-01-16;0,0;;20,0;
2023-01-17;0,0;;18,9;
2023-01-18;0,0;;20,0;
2023-01-19;0,0;;20,0;
2023-01-20;0,0;;18,9;
2023-01-21;29,0;;18,3;
2023-01-22;16,0;;18,9;
2023-01-23;22,1;;19,4;
2023-01-24;3,0;;19,4;
2023-01-25;20,1;;18,9;
2023-01-26;6,1;;19,4;
2023-01-27;0,3;;18,9;
2023-01-30;29,0;;18,3;
2023-01-31;18,0;;19,4;
