Model;Error(%);
1;3,130511463844812;
2;5,770486510441066;
10;5,942212218740716;
23;6,011442441054095;
14;6,0752997692835295;
58;6,119328472368221;
66;6,120043676094586;
54;6,136077941681536;
74;6,245101182377278;
38;6,254540119968242;
62;6,263789169603394;
11;6,3016995073891735;
90;6,316908222021354;
50;6,317747749757986;
3;6,323853615520288;
4;6,344158165648363;
15;6,361459155485397;
78;6,3883506812862905;
26;6,3990565935127695;
31;6,403018529587568;
7;6,403738455492249;
27;6,43892807470694;
19;6,442965967550468;
42;6,525117469795499;
44;6,5805685358237;
8;6,5822547814143055;
6;6,587498993941175;
24;6,592389081358989;
55;6,605024213075067;
94;6,608124693512522;
30;6,63285757850952;
20;6,641842254570662;
86;6,645437214418635;
28;6,64795758632345;
35;6,6495161612131;
18;6,65596562055767;
16;6,673185853360781;
70;6,676151187461711;
59;6,678065560501835;
51;6,69393511988717;
52;6,701636372202126;
22;6,707758154846359;
82;6,736709557051028;
43;6,76036866359447;
63;6,76512158054712;
39;6,768307322929182;
36;6,775484105139013;
68;6,785379514184815;
64;6,788535400801337;
34;6,788921283085138;
46;6,79414214510982;
12;6,797336862392589;
80;6,808162105038027;
71;6,809914407988591;
67;6,81439239991872;
72;6,819543863308255;
92;6,822943107884498;
47;6,828360458107302;
75;6,838469387755104;
60;6,9369103286894624;
84;6,98157695600943;
87;7,002440904419327;
32;7,0128072928952845;
56;7,043398879872931;
40;7,0459957717587365;
96;7,079116362480645;
91;7,103896103896108;
88;7,104766484721546;
79;7,142729226361041;
95;7,151011560693643;
83;7,159740725558526;
48;7,2104324135559175;
76;7,2143173349420815;
49;7,957620724346085;
53;8,02098025387873;
45;8,068820224719119;
65;8,130834009740283;
57;8,212643968478494;
17;8,303571428571436;
61;8,32446808510639;
25;8,350074404761921;
41;8,358795832498508;
13;8,37302955665026;
29;8,393478909669726;
81;8,421935847509737;
73;8,454885877318125;
37;8,520479520479537;
33;8,545651524208028;
85;8,617610837438425;
5;8,67150706436422;
21;8,701827818506057;
69;8,779761904761909;
9;8,795749704840631;
89;8,80802284890903;
93;8,829236239950538;
77;9,019006744328637;
