1 -> Machine Learning: None || Interpolation: Arithmetic Average || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.030974426807760306 | Rel Error: 0.059626687086008025 | Error(%): 3.0974426807760307 | R2: 0.7432083893580895
2 -> Machine Learning: None || Interpolation: Arithmetic Average || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.0591262800383483 | Rel Error: 0.12044310222159486 | Error(%): 5.91262800383483 | R2: 0.13361192304991143
3 -> Machine Learning: None || Interpolation: Arithmetic Average || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06323853615520288 | Rel Error: 0.12288102784767427 | Error(%): 6.323853615520288 | R2: 0.022444012530344115
4 -> Machine Learning: None || Interpolation: Arithmetic Average || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06344158165648363 | Rel Error: 0.11955803529090231 | Error(%): 6.344158165648363 | R2: 0.04054032974813171
5 -> Machine Learning: None || Interpolation: Inverse Distance Weighted || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08627354788069089 | Rel Error: 0.16413348576502215 | Error(%): 8.62735478806909 | R2: -0.858121236741938
6 -> Machine Learning: None || Interpolation: Inverse Distance Weighted || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06601176681968278 | Rel Error: 0.13529990443310919 | Error(%): 6.601176681968278 | R2: -0.07653971967836859
7 -> Machine Learning: None || Interpolation: Inverse Distance Weighted || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06403738455492249 | Rel Error: 0.12306496054023046 | Error(%): 6.403738455492249 | R2: -0.024757222981860005
8 -> Machine Learning: None || Interpolation: Inverse Distance Weighted || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06582254781414305 | Rel Error: 0.12324326726052184 | Error(%): 6.5822547814143055 | R2: -0.0347208648546351
9 -> Machine Learning: None || Interpolation: Regional Weight || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.084917355371901 | Rel Error: 0.1584379474251916 | Error(%): 8.491735537190099 | R2: -0.7773610122706054
10 -> Machine Learning: None || Interpolation: Regional Weight || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06115959572757177 | Rel Error: 0.12323727917762255 | Error(%): 6.115959572757177 | R2: 0.06818868454922133
11 -> Machine Learning: None || Interpolation: Regional Weight || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06379729064039422 | Rel Error: 0.12285214527018107 | Error(%): 6.379729064039422 | R2: -0.01006950818929031
12 -> Machine Learning: None || Interpolation: Regional Weight || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06848585126032158 | Rel Error: 0.12685461136799522 | Error(%): 6.848585126032159 | R2: -0.1345882830738514
13 -> Machine Learning: None || Interpolation: Optimized Normal Ratio || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.07996551724137944 | Rel Error: 0.15345811964585312 | Error(%): 7.9965517241379445 | R2: -0.6496778404319148
14 -> Machine Learning: None || Interpolation: Optimized Normal Ratio || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06832772108319338 | Rel Error: 0.13654876498627377 | Error(%): 6.832772108319338 | R2: -0.1353686346268761
15 -> Machine Learning: None || Interpolation: Optimized Normal Ratio || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06414290647198106 | Rel Error: 0.12305232781217239 | Error(%): 6.414290647198106 | R2: -0.02887313078299636
