Model;Machine Learning;Interpolation;Meta Learning;Absolute Error;Relative Error;Error(%);R2;
1;None;Arithmetic Average;Decision Trees;0,03205099941211069;0,061588380852872195;3,205099941211069;0,7312608249776105;
2;None;Arithmetic Average;Neural network;0,054890163303954645;0,11097291414030336;5,489016330395464;0,23188363407780643;
3;None;Arithmetic Average;Nearest Neighbors;0,06323853615520288;0,12288102784767427;6,323853615520288;0,022444012530344115;
4;None;Arithmetic Average;Support Vector;0,06344158165648363;0,11955803529090231;6,344158165648363;0,04054032974813171;
5;None;Inverse Distance Weighted;Decision Trees;0,08505936028257473;0,16192728933199757;8,505936028257473;-0,8079838094800409;
6;None;Inverse Distance Weighted;Neural network;0,06746467865316824;0,13842862447347357;6,746467865316824;-0,13196923630759572;
7;None;Inverse Distance Weighted;Nearest Neighbors;0,06403738455492249;0,12306496054023046;6,403738455492249;-0,024757222981860005;
8;None;Inverse Distance Weighted;Support Vector;0,06582254781414305;0,12324326726052184;6,5822547814143055;-0,0347208648546351;
9;None;Regional Weight;Decision Trees;0,08362603305785152;0,1555966338760493;8,362603305785152;-0,7801118866641059;
10;None;Regional Weight;Neural network;0,06260869877486787;0,1214800781796572;6,260869877486787;0,04954339947895936;
11;None;Regional Weight;Nearest Neighbors;0,06349655172413805;0,12236173258146132;6,349655172413805;0,023421122171359943;
12;None;Regional Weight;Support Vector;0,06774896150487016;0,12534703286823604;6,774896150487016;-0,11069705834443311;
13;None;Optimized Normal Ratio;Decision Trees;0,07888300492610847;0,15154403675279612;7,888300492610847;-0,6118346340642975;
14;None;Optimized Normal Ratio;Neural network;0,061233218453239126;0,12068672286160621;6,123321845323913;0,08408392194867953;
15;None;Optimized Normal Ratio;Nearest Neighbors;0,06414290647198106;0,12305232781217239;6,414290647198106;-0,02887313078299636;
16;None;Optimized Normal Ratio;Support Vector;0,06654001250877528;0,12493235821058757;6,654001250877528;-0,0652016313992243;
17;Decision Trees;None;Decision Trees;0,08220213396561955;0,15671350802928166;8,220213396561956;-0,7233484951178377;
18;Decision Trees;None;Neural network;0,06005094453468954;0,11623392123617425;6,005094453468954;0,09715584944698663;
19;Decision Trees;None;Nearest Neighbors;0,06298278591214891;0,12227287758132571;6,298278591214891;-0,00545217224134964;
20;Decision Trees;None;Support Vector;0,06617579000987911;0,1244753515349019;6,617579000987911;-0,02580484363178992;
21;Decision Trees;Arithmetic Average;Decision Trees;0,084703784426392;0,16037596226616493;8,4703784426392;-0,8011790916939465;
22;Decision Trees;Arithmetic Average;Neural network;0,06184806341832965;0,12333520506197672;6,184806341832965;0,05708229415834265;
23;Decision Trees;Arithmetic Average;Nearest Neighbors;0,059811274024172856;0,11562482695097619;5,981127402417286;0,10253082423520898;
24;Decision Trees;Arithmetic Average;Support Vector;0,06639748913972345;0,12386223259113503;6,639748913972345;-0,06986809307836306;
25;Decision Trees;Inverse Distance Weighted;Decision Trees;0,083497023809524;0,1587223174686732;8,349702380952401;-0,778560768866247;
26;Decision Trees;Inverse Distance Weighted;Neural network;0,0625660000509709;0,12297483470707936;6,2566000050970905;0,04510715018961986;
27;Decision Trees;Inverse Distance Weighted;Nearest Neighbors;0,06303174051261684;0,12088082741305406;6,303174051261684;0,018911213519219094;
28;Decision Trees;Inverse Distance Weighted;Support Vector;0,06770894073884279;0,12634058147768634;6,770894073884278;-0,10482164368772828;
29;Decision Trees;Regional Weight;Decision Trees;0,08789668722642276;0,1643684322846958;8,789668722642276;-0,927553419506949;
30;Decision Trees;Regional Weight;Neural network;0,06518973487277491;0,12666094564582794;6,51897348727749;-0,03121612227938253;
31;Decision Trees;Regional Weight;Nearest Neighbors;0,06390167364016744;0,12263445716977561;6,390167364016744;-0,006744498701704682;
32;Decision Trees;Regional Weight;Support Vector;0,06964682116175398;0,12904416934210594;6,964682116175398;-0,13428588126400198;
33;Decision Trees;Optimized Normal Ratio;Decision Trees;0,08163105200239106;0,15545570964502592;8,163105200239105;-0,713712546992525;
34;Decision Trees;Optimized Normal Ratio;Neural network;0,06980834660068538;0,14172389298208304;6,980834660068538;-0,21911387792994175;
35;Decision Trees;Optimized Normal Ratio;Nearest Neighbors;0,06644278731045501;0,12681116639810067;6,644278731045501;-0,10999391750278598;
36;Decision Trees;Optimized Normal Ratio;Support Vector;0,06667664102412214;0,12532048901168202;6,667664102412214;-0,07285605244257498;
37;Neural network;None;Decision Trees;0,0889098401598403;0,16856450848165225;8,89098401598403;-1,0642113880745416;
38;Neural network;None;Neural network;0,06334122224531204;0,12732930812743531;6,334122224531204;-0,0052026025001419285;
39;Neural network;None;Nearest Neighbors;0,06835759303721496;0,12984429309276396;6,835759303721496;-0,13209000842515373;
40;Neural network;None;Support Vector;0,06986718150063656;0,12890013089532068;6,986718150063656;-0,15510304753409865;
41;Neural network;Arithmetic Average;Decision Trees;0,08630785413744757;0,1645185745046492;8,630785413744757;-0,880006769647679;
42;Neural network;Arithmetic Average;Neural network;0,06596102806343875;0,13374002101204321;6,5961028063438745;-0,07998727615623391;
43;Neural network;Arithmetic Average;Nearest Neighbors;0,06752028651572828;0,12875485651529628;6,752028651572828;-0,11481539239023575;
44;Neural network;Arithmetic Average;Support Vector;0,06605608085985099;0,12296384670056021;6,605608085985098;-0,03877977713363667;
45;Neural network;Inverse Distance Weighted;Decision Trees;0,07530848715890864;0,14259438962280352;7,530848715890865;-0,4685482043674345;
46;Neural network;Inverse Distance Weighted;Neural network;0,06500784944690258;0,12924954613791825;6,500784944690258;-0,03636533692426558;
47;Neural network;Inverse Distance Weighted;Nearest Neighbors;0,06727923447860164;0,12747483280904048;6,727923447860164;-0,08812421519024305;
48;Neural network;Inverse Distance Weighted;Support Vector;0,0717618500822816;0,13233746465198523;7,17618500822816;-0,1980873180446734;
49;Neural network;Regional Weight;Decision Trees;0,08512198189134823;0,15936170295949162;8,512198189134823;-0,7800059892845725;
50;Neural network;Regional Weight;Neural network;0,06405501068635444;0,12901220376886854;6,405501068635444;-0,02023611294999017;
51;Neural network;Regional Weight;Nearest Neighbors;0,06722496473906914;0,12727524099682813;6,722496473906913;-0,07957295717992152;
52;Neural network;Regional Weight;Support Vector;0,06659457251698435;0,12441850252367663;6,659457251698435;-0,07294468381749009;
53;Neural network;Optimized Normal Ratio;Decision Trees;0,079703556316744;0,1515896250729008;7,9703556316744;-0,558527193888757;
54;Neural network;Optimized Normal Ratio;Neural network;0,07145329768595478;0,14605990012686784;7,145329768595478;-0,2749399006230244;
55;Neural network;Optimized Normal Ratio;Nearest Neighbors;0,06470263317191294;0,12245565984690641;6,470263317191294;-0,02845610209696714;
56;Neural network;Optimized Normal Ratio;Support Vector;0,0716575593631185;0,1321075006020515;7,16575593631185;-0,18461220782286358;
57;Nearest Neighbors;None;Decision Trees;0,08208476459890898;0,15564861170994748;8,208476459890898;-0,6308244111446841;
58;Nearest Neighbors;None;Neural network;0,06379467304821383;0,1270910465235672;6,379467304821383;-0,0005113304721020562;
59;Nearest Neighbors;None;Nearest Neighbors;0,06678065560501835;0,12639724342607928;6,678065560501835;-0,06991320142812985;
60;Nearest Neighbors;None;Support Vector;0,06936910328689462;0,12750978015020714;6,9369103286894624;-0,1224783723934697;
61;Nearest Neighbors;Arithmetic Average;Decision Trees;0,0856534954407295;0,16290400820136786;8,56534954407295;-0,8449236386743055;
62;Nearest Neighbors;Arithmetic Average;Neural network;0,06642061568490973;0,13180425581573185;6,6420615684909725;-0,07027305873067524;
63;Nearest Neighbors;Arithmetic Average;Nearest Neighbors;0,0676512158054712;0,1285089043392156;6,76512158054712;-0,08334818167139413;
64;Nearest Neighbors;Arithmetic Average;Support Vector;0,06788535400801338;0,12663814756933098;6,788535400801337;-0,07892712275546576;
