Ano,Mes,Chuva,Tmax,Tmin,Tmean
1961.0,1.0,72.89999999999999,37.5,15.2,25.24137931034483
1961.0,2.0,151.70000000000002,35.9,18.2,25.437037037037037
1961.0,3.0,167.29999999999998,35.3,13.0,22.37333333333334
1961.0,4.0,54.39999999999999,31.0,9.6,19.617241379310343
1961.0,5.0,58.4,27.2,6.5,17.65333333333333
1961.0,6.0,170.1,29.9,0.8,15.486206896551725
1961.0,7.0,56.9,30.5,3.0,15.233333333333333
1961.0,8.0,88.2,34.9,9.3,17.783333333333335
1961.0,9.0,250.39999999999998,28.7,9.4,17.755172413793108
1961.0,10.0,172.39999999999998,32.2,10.8,21.323333333333334
1961.0,11.0,74.39999999999999,34.1,12.0,22.613793103448273
1961.0,12.0,134.1,35.3,14.0,24.19333333333333
1962.0,1.0,57.1,34.8,13.2,24.020000000000003
1962.0,2.0,38.5,34.7,12.6,22.96666666666667
1962.0,3.0,85.7,36.0,16.1,23.723333333333333
1962.0,4.0,50.39999999999999,33.5,9.0,19.393103448275863
1962.0,5.0,19.5,27.2,4.6,15.216666666666667
1962.0,6.0,29.700000000000003,31.5,3.4,13.710344827586209
1962.0,7.0,72.19999999999999,23.7,1.4,12.736666666666668
1962.0,8.0,86.69999999999999,31.4,4.2,14.233333333333333
1962.0,9.0,123.49999999999999,31.4,6.8,17.09655172413793
1962.0,10.0,67.1,31.4,6.2,17.949999999999996
1962.0,11.0,28.599999999999998,39.0,11.5,22.02413793103448
1962.0,12.0,48.199999999999996,38.3,14.8,24.180000000000003
1963.0,1.0,89.49999999999999,37.5,17.5,25.02333333333333
1963.0,2.0,70.30000000000001,37.4,17.4,24.992592592592594
1963.0,3.0,96.89999999999999,36.3,13.7,24.220000000000002
1963.0,4.0,36.7,34.2,10.9,20.386206896551727
1963.0,5.0,41.1,28.0,6.9,17.276666666666667
1963.0,6.0,79.7,28.9,4.4,14.896551724137929
1963.0,7.0,62.1,28.3,2.6,15.32666666666667
1963.0,8.0,162.4,27.5,2.2,14.586666666666668
1963.0,9.0,114.89999999999999,34.7,11.0,18.18965517241379
1963.0,10.0,303.40000000000003,31.0,7.2,18.983333333333334
1963.0,11.0,151.3,36.2,11.1,21.01724137931034
1963.0,12.0,63.3,34.3,14.5,22.953333333333333
1964.0,1.0,7.000000000000001,39.1,16.1,24.5
1964.0,2.0,107.6,35.9,15.0,24.196428571428573
1964.0,3.0,51.89999999999999,36.3,10.6,23.503333333333337
1964.0,4.0,55.49999999999999,31.7,11.3,20.66896551724138
1964.0,5.0,48.5,27.2,9.7,17.103333333333335
1964.0,6.0,67.20000000000002,27.3,3.4,12.53448275862069
1964.0,7.0,159.4,28.4,3.3,12.043333333333331
1964.0,8.0,160.70000000000002,28.8,5.3,15.393333333333334
1964.0,9.0,101.50000000000001,32.8,3.9,16.444827586206895
1964.0,10.0,73.10000000000001,32.5,8.8,18.07333333333333
1964.0,11.0,46.4,32.1,10.2,20.420689655172417
1964.0,12.0,115.1,36.5,11.9,22.293333333333337
1965.0,1.0,91.1,35.3,12.7,24.416666666666668
1965.0,2.0,57.49999999999999,36.6,17.1,25.544444444444448
1965.0,3.0,98.80000000000001,32.9,11.7,21.25
1965.0,4.0,27.2,31.6,10.1,19.779310344827586
1965.0,5.0,92.00000000000001,28.2,5.4,15.643333333333334
1965.0,6.0,48.00000000000002,27.8,8.4,16.162068965517243
1965.0,7.0,85.99999999999999,28.2,1.7,13.713333333333331
1965.0,8.0,321.3,31.6,5.4,15.643333333333334
1965.0,9.0,237.79999999999998,34.4,6.0,16.596551724137928
1965.0,10.0,247.20000000000002,34.6,8.8,19.90333333333333
1965.0,11.0,53.400000000000006,34.6,12.1,21.43793103448276
1965.0,12.0,142.8,36.0,13.6,23.486666666666668
1966.0,1.0,95.00000000000001,35.0,13.9,24.71666666666666
1966.0,2.0,196.10000000000002,35.6,16.3,23.98518518518518
1966.0,3.0,92.7,36.6,13.9,22.97666666666667
1966.0,4.0,32.699999999999996,32.4,12.8,20.848275862068967
1966.0,5.0,2.5,30.1,5.6,17.323333333333334
1966.0,6.0,120.4,28.0,3.8,15.948275862068964
1966.0,7.0,195.2,30.3,1.9,15.059999999999999
1966.0,8.0,221.9,31.4,4.4,13.333333333333334
1966.0,9.0,126.79999999999998,27.3,6.1,15.417241379310346
1966.0,10.0,135.20000000000002,31.5,9.2,18.603333333333335
1966.0,11.0,34.79999999999999,34.6,9.2,21.58620689655173
1966.0,12.0,224.20000000000002,36.1,14.5,23.233333333333334
1967.0,1.0,134.79999999999995,35.4,16.8,24.080000000000002
1967.0,2.0,57.300000000000004,35.4,13.2,23.859259259259257
1967.0,3.0,57.1,32.2,12.4,21.87333333333333
1967.0,4.0,41.2,32.6,7.0,19.913793103448278
1967.0,5.0,38.099999999999994,31.0,12.7,19.69666666666667
1967.0,7.0,42.9,31.4,4.0,15.176666666666668
1967.0,8.0,49.00000000000001,32.6,6.8,16.680000000000003
1967.0,9.0,297.8,28.4,7.0,17.79310344827586
1967.0,10.0,68.10000000000001,35.0,12.9,21.580000000000002
1967.0,11.0,55.400000000000006,36.9,15.1,21.69655172413793
1967.0,12.0,57.4,36.5,14.2,23.759999999999998
1968.0,1.0,144.39999999999998,35.8,14.8,24.71666666666666
1968.0,2.0,76.3,37.3,15.2,24.54642857142857
1968.0,3.0,175.8,35.5,15.3,23.589999999999993
1968.0,4.0,88.80000000000001,30.0,8.6,17.058620689655175
1968.0,5.0,32.3,27.3,4.9,14.126666666666667
1968.0,6.0,56.6,26.0,5.2,14.73793103448276
1968.0,7.0,69.99999999999997,26.4,4.6,15.326666666666664
1968.0,8.0,11.7,28.8,7.4,16.37333333333333
1968.0,9.0,165.5,34.8,5.3,16.78620689655172
1968.0,10.0,141.6,33.8,9.4,19.51
1968.0,11.0,95.10000000000001,33.5,13.8,23.503448275862073
1968.0,12.0,69.6,38.2,15.6,23.839999999999996
1969.0,1.0,98.60000000000001,35.6,15.1,23.70666666666667
1969.0,2.0,187.5,36.1,16.0,24.699999999999996
1969.0,3.0,62.4,35.2,14.8,23.04
1969.0,4.0,70.39999999999999,31.1,11.8,20.624137931034486
1969.0,5.0,92.99999999999996,32.2,8.6,17.65
1969.0,6.0,72.5,29.9,4.0,15.444827586206898
1969.0,7.0,45.4,30.3,4.6,14.54
1969.0,8.0,93.0,31.6,3.2,14.156666666666665
1969.0,9.0,83.49999999999999,32.3,5.6,17.141379310344828
1969.0,10.0,22.2,35.0,8.0,18.10666666666667
1969.0,11.0,97.10000000000001,35.0,12.0,21.462068965517236
1969.0,12.0,52.2,36.4,12.8,23.14
1970.0,1.0,35.699999999999996,35.4,14.6,25.036666666666665
1970.0,2.0,92.60000000000001,36.5,16.0,25.585185185185182
1970.0,3.0,144.6,36.0,15.8,24.143333333333334
1970.0,4.0,36.8,33.5,12.2,21.596551724137928
1970.0,5.0,176.89999999999998,31.0,7.2,17.930000000000003
1970.0,6.0,220.49999999999997,28.5,5.6,15.600000000000001
1970.0,7.0,179.4,28.2,4.2,14.876666666666665
1970.0,8.0,96.5,31.2,4.6,15.349999999999998
1970.0,9.0,15.2,30.0,6.6,17.410344827586208
1970.0,10.0,140.7,29.8,10.4,18.29666666666667
1970.0,11.0,52.2,31.1,10.2,19.458620689655174
1970.0,12.0,68.80000000000001,39.2,12.0,23.779999999999998
1971.0,1.0,109.80000000000001,37.2,16.8,25.55666666666667
1971.0,2.0,97.2,37.3,14.4,25.24074074074074
1971.0,3.0,141.29999999999998,32.4,15.5,22.759999999999998
1971.0,4.0,58.900000000000006,32.3,6.8,18.472413793103446
1971.0,5.0,84.60000000000001,29.5,5.1,15.066666666666666
1971.0,6.0,159.7,24.4,1.2,12.441379310344827
1971.0,7.0,60.599999999999994,28.0,4.1,14.813333333333333
1971.0,8.0,137.7,29.5,6.9,15.283333333333335
1971.0,9.0,65.9,31.6,10.0,19.527586206896554
1971.0,10.0,31.2,31.3,7.6,19.513333333333335
1971.0,11.0,42.7,34.9,11.2,21.724137931034484
1971.0,12.0,117.20000000000002,37.3,12.3,24.410000000000004
1972.0,1.0,215.4,35.5,16.2,24.48333333333333
1972.0,2.0,185.00000000000003,35.5,15.0,23.900000000000002
1972.0,3.0,184.0,34.6,14.8,22.926666666666666
1972.0,4.0,122.7,29.5,10.0,19.36551724137931
1972.0,5.0,75.9,30.3,9.9,19.06666666666667
1972.0,6.0,250.50000000000003,27.7,7.8,17.76551724137931
1972.0,7.0,184.70000000000002,27.7,3.0,14.573333333333332
1972.0,8.0,238.89999999999995,30.1,3.8,15.386666666666667
1972.0,9.0,219.39999999999998,32.4,6.0,17.465517241379306
1972.0,10.0,141.0,33.6,8.4,18.353333333333335
1972.0,11.0,114.49999999999999,32.2,11.0,20.5448275862069
1972.0,12.0,36.1,38.6,16.4,24.030000000000005
1973.0,1.0,185.7,37.0,16.2,25.246666666666663
1973.0,2.0,144.5,36.4,18.8,25.099999999999998
1973.0,3.0,80.9,33.8,14.9,23.143333333333334
1973.0,4.0,72.6,34.6,14.1,21.90344827586207
1973.0,5.0,124.7,31.2,9.5,17.686666666666667
1973.0,6.0,66.5,29.6,6.1,16.027586206896554
1973.0,7.0,200.4,31.2,3.9,14.949999999999998
1973.0,8.0,147.0,25.0,6.5,13.52
1973.0,9.0,137.79999999999998,27.8,6.2,16.16551724137931
1973.0,10.0,61.90000000000001,32.0,8.7,19.366666666666667
1973.0,11.0,8.200000000000001,34.9,11.0,20.26551724137931
1973.0,12.0,99.5,32.4,14.4,23.753333333333334
1974.0,1.0,85.89999999999999,36.9,11.1,25.74333333333333
1974.0,2.0,70.60000000000001,36.2,18.0,24.751851851851853
1974.0,3.0,106.5,34.1,14.9,23.286206896551718
1974.0,4.0,0.5,31.2,11.8,20.658620689655173
1974.0,5.0,128.10000000000002,29.1,10.5,18.336666666666666
1974.0,6.0,200.29999999999998,24.2,2.5,12.917857142857144
1974.0,7.0,60.3,27.1,8.7,15.733333333333336
1974.0,8.0,106.69999999999999,31.4,3.1,14.853333333333332
1974.0,9.0,47.9,34.4,2.2,16.113793103448273
1974.0,10.0,33.400000000000006,29.6,7.9,17.613333333333337
1974.0,11.0,115.19999999999999,35.3,10.5,19.92068965517241
1974.0,12.0,144.5,36.2,11.7,21.286206896551725
1975.0,1.0,104.9,35.2,11.4,22.94333333333333
1975.0,2.0,102.4,37.9,14.8,23.748148148148154
1975.0,3.0,67.0,34.2,14.7,22.83
1975.0,4.0,42.2,28.3,9.0,19.71379310344828
1975.0,5.0,62.3,28.6,7.3,16.886666666666667
1975.0,6.0,122.6,25.5,3.1,14.56551724137931
1975.0,7.0,69.09999999999998,28.9,1.2,13.42333333333333
1975.0,8.0,262.5999999999999,31.5,6.4,15.776666666666666
1975.0,9.0,141.70000000000002,34.7,5.4,17.00344827586207
1975.0,10.0,59.900000000000006,30.9,9.7,18.08333333333333
1975.0,11.0,89.60000000000001,37.3,13.1,20.606896551724134
1975.0,12.0,111.39999999999998,34.7,13.2,22.99666666666667
1976.0,1.0,98.6,35.2,15.7,24.37333333333333
1976.0,2.0,80.1,32.4,13.5,23.453571428571426
1976.0,3.0,144.29999999999998,35.4,10.4,21.360000000000003
1976.0,4.0,108.59999999999998,31.1,10.4,18.458620689655174
1976.0,5.0,184.09999999999997,27.4,7.1,16.623333333333335
1976.0,6.0,114.19999999999999,26.8,4.0,13.289655172413795
1976.0,7.0,227.29999999999998,27.6,1.3,13.843333333333334
1976.0,8.0,94.1,29.2,4.2,13.98666666666667
1976.0,9.0,85.90000000000002,31.3,5.4,15.837931034482759
1976.0,10.0,57.800000000000004,30.9,7.6,18.02
1976.0,11.0,103.20000000000002,34.2,10.6,20.044827586206896
1976.0,12.0,169.29999999999998,35.6,11.7,23.05666666666667
1977.0,1.0,80.2,35.0,16.5,24.869999999999997
1977.0,2.0,65.1,36.1,18.4,25.86296296296296
1977.0,3.0,101.79999999999998,34.6,15.9,23.530000000000005
1977.0,4.0,106.9,30.2,9.1,19.299999999999997
1977.0,5.0,72.7,28.8,4.2,16.136666666666667
1977.0,6.0,221.10000000000002,26.5,5.2,15.017241379310343
1977.0,7.0,187.49999999999997,31.3,3.6,17.183333333333334
1977.0,8.0,132.9,29.5,4.7,14.69
1977.0,9.0,72.89999999999999,34.2,2.7,19.11034482758621
1977.0,10.0,55.69999999999999,33.4,11.5,21.01666666666667
1977.0,11.0,84.80000000000001,33.9,11.3,21.555172413793105
1977.0,12.0,35.0,33.9,15.2,23.43333333333333
1978.0,1.0,111.80000000000001,36.7,14.5,24.46333333333333
1978.0,2.0,36.900000000000006,36.9,16.8,23.63703703703704
1978.0,3.0,49.699999999999996,38.1,15.3,23.463333333333342
1978.0,4.0,6.9,32.0,7.3,18.33448275862069
1978.0,5.0,27.4,31.0,3.6,14.876666666666665
1978.0,6.0,81.9,28.3,0.7,14.36206896551724
1978.0,7.0,92.60000000000001,28.0,6.3,15.76333333333333
1978.0,8.0,175.8,29.1,5.3,14.879999999999997
1978.0,9.0,90.7,29.9,3.7,17.46551724137931
1978.0,10.0,142.3,32.3,12.0,20.030000000000005
1978.0,11.0,133.39999999999998,34.7,8.7,20.6551724137931
1978.0,12.0,85.29999999999998,35.8,16.6,23.456666666666667
1979.0,1.0,27.5,35.4,14.2,23.30666666666666
1979.0,2.0,39.199999999999996,36.4,18.1,24.616
1979.0,3.0,61.399999999999984,33.1,13.2,21.816666666666666
1979.0,4.0,142.2,29.4,11.5,18.570370370370366
1979.0,5.0,68.2,25.2,5.9,15.336842105263157
1979.0,6.0,45.3,26.7,3.6,11.738095238095237
