Ano,Chuva,Tmax,Tmin,Tmean
1961,1317.1,37.5,0.8,20.04704516428654
1962,659.0,39.0,1.4,18.46098223615465
1963,1208.3,37.5,2.2,19.536264948333915
1964,878.8000000000001,39.1,3.3,18.625641886848783
1965,1360.3000000000002,36.6,1.7,19.099118773946362
1966,1253.3,36.6,1.9,19.072592592592592
1967,841.7,36.9,4.0,20.2349374201788
1968,1058.1000000000001,37.3,4.6,19.115997163755786
1969,925.5999999999999,36.1,3.2,19.142946708463953
1970,1191.1,36.5,4.2,19.57127597817253
1971,989.6,37.3,1.2,19.127235574132126
1972,1932.0,35.5,3.0,19.43921630094044
1973,1230.2000000000003,37.0,3.9,19.397763845350056
1974,955.3999999999999,36.9,2.2,19.084456303594234
1975,1124.3,37.9,1.2,18.689194241263205
1976,1298.1999999999998,35.4,1.3,18.11738841618152
1977,1181.6,36.1,2.7,19.842944386392663
1978,949.4,38.1,0.7,18.902813189364913
1979,741.3999999999999,36.4,3.6,18.286090640874217
1980,866.1999999999999,36.2,1.9,19.180070662531477
1981,758.6,35.5,2.3,19.610546257174445
1982,1079.8999999999999,35.0,4.2,19.274239064672347
1983,1403.6999999999998,35.6,2.7,18.83253918495298
1984,1626.4999999999998,37.9,2.2,19.282190625466484
1988,986.1999999999999,37.9,1.4,18.3717592177937
1989,1116.6999999999998,36.1,3.5,18.895653082549632
1990,1408.7,38.6,1.1,18.960027328992844
1991,1007.8999999999999,38.2,0.6,19.713544641820505
1992,1406.0,37.2,1.8,19.188967839312667
1993,1160.3999999999999,37.2,-0.2,19.048658307210033
1994,1463.6999999999998,38.0,0.4,19.238778462916393
1995,1256.7,36.3,0.3,19.205182863113897
1996,1142.7,36.6,1.6,18.827742946708465
1997,1258.9,37.2,1.6,19.39363520260072
1998,1299.4,37.6,4.8,19.008281667247186
1999,1218.6,36.7,4.0,18.825331475676304
2000,1431.6999999999998,36.8,0.0,18.857761606209884
2001,201.5,35.6,7.2,18.43829365079365
2002,1471.1999999999998,38.0,3.4,19.941148264251712
2003,1317.2,37.8,2.4,19.50665853941716
2004,1073.6999999999998,36.6,2.8,19.323320644872368
2005,1265.8000000000002,39.2,1.8,19.86104609311506
2006,969.5000000000001,38.2,2.7,19.5762672704052
2007,1473.1999999999998,36.6,0.4,19.402926970858005
2008,1329.8,37.5,1.8,19.173706523361698
2009,1528.8,35.6,0.1,19.227210031347962
2010,1348.8,39.0,2.4,19.426087309880415
2011,1267.1,36.8,2.1,19.232627423661906
2012,1224.6999999999998,39.0,0.9,20.280603075085832
2013,1380.4999999999998,38.2,1.4,18.903697898525483
2014,1466.6,40.6,3.1,20.241418785556718
2015,1698.6000000000001,37.0,4.5,20.177503773365842
2016,1402.9,39.0,3.0,19.18499626809972
2017,1603.7000000000003,36.1,2.2,20.539535585742485
2018,1275.1999999999998,36.5,2.6,19.790460931150587
2019,1410.5,38.5,2.3,20.331034482758618
2020,1181.1999999999998,38.4,2.6,19.713344529034185
2021,1125.1999999999998,38.4,2.1,19.710319284802043
2022,1226.5000000000002,40.1,3.4,19.315533495878324
2023,1851.5,38.8,3.8,20.288427957738307
