Ano,Trimestre,Chuva,Tmax,Tmin,Tmean
1961.0,1.0,391.9,37.5,13.0,24.35058322690507
1961.0,2.0,282.9,31.0,0.8,17.5855938697318
1961.0,3.0,395.5,34.9,3.0,16.923946360153256
1961.0,4.0,380.9,35.3,10.8,22.71015325670498
1962.0,1.0,181.3,36.0,12.6,23.570000000000004
1962.0,2.0,99.6,33.5,3.4,16.10670498084291
1962.0,3.0,282.4,31.4,1.4,14.688850574712644
1962.0,4.0,143.89999999999998,39.0,6.2,21.38471264367816
1963.0,1.0,256.7,37.5,13.7,24.74530864197531
1963.0,2.0,157.5,34.2,4.4,17.519808429118775
1963.0,3.0,339.4,34.7,2.2,16.03432950191571
1963.0,4.0,518.0,36.2,7.2,20.98463601532567
1964.0,1.0,166.5,39.1,10.6,24.066587301587305
1964.0,2.0,171.20000000000002,31.7,3.4,16.768927203065136
1964.0,3.0,421.6,32.8,3.3,14.627164750957855
1964.0,4.0,234.6,36.5,8.8,20.262452107279696
1965.0,1.0,247.4,36.6,11.7,23.737037037037037
1965.0,2.0,167.20000000000005,31.6,5.4,17.19490421455939
1965.0,3.0,645.1,34.4,1.7,15.317739463601532
1965.0,4.0,443.40000000000003,36.0,8.8,21.609310344827588
1966.0,1.0,383.80000000000007,36.6,13.9,23.892839506172837
1966.0,2.0,155.6,32.4,3.8,18.039961685823755
1966.0,3.0,543.9,31.4,1.9,14.60352490421456
1966.0,4.0,394.20000000000005,36.1,9.2,21.140957854406135
1967.0,1.0,249.19999999999996,35.4,12.4,23.270864197530866
1967.0,2.0,122.19999999999999,32.6,4.0,18.262375478927204
1967.0,3.0,389.70000000000005,32.6,4.0,16.54992337164751
1967.0,4.0,180.9,36.9,12.9,22.34551724137931
1968.0,1.0,396.5,37.3,14.8,24.284365079365074
1968.0,2.0,177.70000000000002,30.0,4.9,15.307739463601536
1968.0,3.0,247.19999999999996,34.8,4.6,16.16206896551724
1968.0,4.0,306.3,38.2,9.4,22.284482758620687
1969.0,1.0,348.5,36.1,14.8,23.81555555555555
1969.0,2.0,235.89999999999995,32.2,4.0,17.906321839080462
1969.0,3.0,221.89999999999998,32.3,3.2,15.27934865900383
1969.0,4.0,171.5,36.4,8.0,20.902911877394633
1970.0,1.0,272.9,36.5,14.6,24.921728395061724
1970.0,2.0,434.19999999999993,33.5,5.6,18.37551724137931
1970.0,3.0,291.1,31.2,4.2,15.879003831417625
1970.0,4.0,261.7,39.2,10.2,20.51176245210728
1971.0,1.0,348.3,37.3,14.4,24.519135802469133
1971.0,2.0,303.2,32.3,1.2,15.326819923371646
1971.0,3.0,264.2,31.6,4.1,16.541417624521074
1971.0,4.0,191.10000000000002,37.3,7.6,21.88249042145594
1972.0,1.0,584.4000000000001,35.5,14.8,23.77
1972.0,2.0,449.1,30.3,7.8,18.732567049808434
1972.0,3.0,643.0,32.4,3.0,15.808505747126437
1972.0,4.0,291.59999999999997,38.6,8.4,20.976053639846743
1973.0,1.0,411.1,37.0,14.9,24.496666666666666
1973.0,2.0,263.8,34.6,6.1,18.539233716475096
1973.0,3.0,485.2,31.2,3.9,14.878505747126434
1973.0,4.0,169.60000000000002,34.9,8.7,21.128505747126436
1974.0,1.0,263.0,36.9,11.1,24.593797360578964
1974.0,2.0,328.9,31.2,2.5,17.30438149972633
1974.0,3.0,214.89999999999998,34.4,2.2,15.566819923371646
1974.0,4.0,293.1,36.2,7.9,19.606743295019157
1975.0,1.0,274.3,37.9,11.4,23.17382716049383
1975.0,2.0,227.1,28.6,3.1,17.055325670498085
1975.0,3.0,473.3999999999999,34.7,1.2,15.401149425287356
1975.0,4.0,260.9,37.3,9.7,20.56229885057471
1976.0,1.0,323.0,35.4,10.4,23.062301587301587
1976.0,2.0,406.8999999999999,31.1,4.0,16.12386973180077
1976.0,3.0,407.3,31.3,1.3,14.555977011494255
1976.0,4.0,330.3,35.6,7.6,20.37383141762452
1977.0,1.0,247.09999999999997,36.1,15.9,24.75432098765432
1977.0,2.0,400.70000000000005,30.2,4.2,16.817969348659002
1977.0,3.0,393.29999999999995,34.2,2.7,16.994559386973183
1977.0,4.0,175.5,33.9,11.3,22.001724137931035
1978.0,1.0,198.4,38.1,14.5,23.85456790123457
1978.0,2.0,116.2,32.0,0.7,15.857739463601533
1978.0,3.0,359.1,29.9,3.7,16.03628352490421
1978.0,4.0,361.0,35.8,8.7,21.380613026819926
1979.0,1.0,128.09999999999997,36.4,13.2,23.24644444444444
1979.0,2.0,255.7,29.4,3.6,15.215102571242918
1979.0,3.0,187.09999999999997,35.8,3.7,15.383152298850575
1979.0,4.0,277.4,34.6,10.0,20.91119625372499
