Ano,Mes,Chuva,Tmax,Tmin,Tmean
1973.0,3.0,201.1,32.8,20.2,25.21
1973.0,4.0,357.9,31.7,17.8,24.59310344827586
1973.0,5.0,46.8,32.3,17.0,24.059999999999995
1973.0,6.0,100.89999999999999,31.1,16.8,23.986206896551728
1973.0,7.0,73.5,31.7,14.8,23.23
1973.0,8.0,47.2,32.9,18.0,24.01764705882353
1973.0,9.0,2.8,36.2,17.1,26.024137931034485
1973.0,10.0,31.299999999999997,35.9,16.9,25.666666666666668
1973.0,11.0,4.3,36.2,16.7,26.651724137931037
1973.0,12.0,131.6,35.5,20.0,26.5
1974.0,1.0,228.6,34.3,19.2,24.589999999999996
1974.0,2.0,378.7000000000001,31.6,18.9,23.79259259259259
1974.0,3.0,458.90000000000003,30.8,18.8,23.790000000000003
1974.0,4.0,394.7,30.9,18.8,23.92068965517241
1974.0,5.0,20.2,30.6,14.2,23.276666666666664
1974.0,6.0,1.5,31.0,14.2,22.644827586206894
1974.0,7.0,6.3,30.3,15.2,22.599999999999998
1974.0,8.0,0.0,37.6,13.5,24.309999999999995
1974.0,9.0,1.4,34.4,15.7,25.54827586206897
1974.0,10.0,38.9,34.9,16.2,25.363333333333333
1974.0,11.0,25.2,34.5,17.6,25.227586206896554
1974.0,12.0,57.1,34.3,16.2,25.53666666666667
1975.0,1.0,290.8,35.9,18.3,25.21333333333333
1975.0,2.0,177.6,31.2,18.0,23.755555555555556
1975.0,3.0,211.4,30.4,17.6,23.70909090909091
1975.0,4.0,91.19999999999999,30.3,19.9,24.192307692307693
1975.0,5.0,31.2,31.0,17.9,23.25666666666666
1975.0,6.0,45.5,29.8,16.7,23.23793103448276
1975.0,7.0,24.9,30.3,14.4,22.606666666666666
1975.0,8.0,0.1,32.1,13.0,23.560000000000006
1975.0,9.0,4.0,34.1,14.8,25.210344827586205
1975.0,10.0,7.3,35.3,15.6,25.756666666666668
1975.0,11.0,34.3,36.7,17.8,26.182758620689654
1975.0,12.0,59.300000000000004,34.4,18.6,25.81
1976.0,1.0,79.9,34.9,16.8,25.50333333333333
1976.0,2.0,411.9000000000001,31.2,18.2,23.832142857142856
1976.0,3.0,115.8,31.3,19.2,24.09310344827586
1976.0,4.0,93.10000000000001,30.8,15.8,23.48148148148148
1976.0,5.0,12.3,32.3,15.0,23.36428571428571
1976.0,6.0,0.9,32.9,12.7,23.900000000000002
1976.0,7.0,1.2,33.3,14.0,24.2551724137931
1976.0,8.0,4.9,33.9,12.6,24.65357142857143
1976.0,9.0,39.8,34.7,14.8,25.217241379310344
1976.0,10.0,54.800000000000004,33.3,15.5,24.23703703703704
1976.0,11.0,134.8,33.1,16.6,24.18571428571429
1976.0,12.0,65.8,34.6,10.4,25.203448275862065
1977.0,1.0,142.3,33.1,19.0,24.66666666666667
1977.0,2.0,122.0,31.6,18.2,24.04074074074074
1977.0,3.0,287.2,31.6,18.4,24.0
1977.0,4.0,172.99999999999994,30.9,18.5,24.017241379310345
1977.0,5.0,42.1,30.9,17.2,23.789999999999996
1977.0,6.0,19.900000000000002,30.1,15.1,23.341379310344827
1977.0,7.0,40.199999999999996,31.1,14.2,22.78666666666667
1977.0,8.0,0.3,33.9,13.0,23.77
1977.0,9.0,20.4,34.0,15.7,25.80689655172414
1977.0,10.0,39.6,35.4,16.9,26.35666666666667
1977.0,11.0,14.799999999999999,36.9,17.6,26.555172413793105
1977.0,12.0,35.800000000000004,35.7,17.8,26.00689655172414
1978.0,1.0,179.4,35.7,18.1,25.07
1978.0,2.0,313.99999999999994,33.1,18.7,24.303703703703704
1978.0,3.0,183.89999999999995,31.1,18.0,24.03666666666667
1978.0,4.0,250.2,31.3,17.5,23.982758620689655
1978.0,5.0,167.99999999999997,30.5,15.6,23.39333333333333
1978.0,6.0,4.5,30.1,15.2,22.95862068965517
1978.0,7.0,25.5,32.1,14.6,23.446153846153848
1978.0,8.0,0.2,33.3,13.3,23.860000000000003
1978.0,9.0,35.199999999999996,33.7,14.7,24.986206896551717
1978.0,10.0,5.1,35.3,16.8,26.180000000000003
1978.0,11.0,21.200000000000003,36.1,16.8,26.631034482758622
1978.0,12.0,40.900000000000006,34.0,19.5,25.783333333333335
1979.0,1.0,125.0,32.9,18.4,24.639999999999997
1979.0,2.0,55.4,32.0,19.0,24.36666666666667
1979.0,3.0,107.4,31.7,19.7,24.25
1979.0,4.0,0.0,30.0,20.1,24.133333333333336
1979.0,5.0,7.999999999999999,30.2,16.9,22.905882352941177
1979.0,6.0,0.0,31.1,17.0,23.825000000000003
1979.0,7.0,1.6,32.1,15.0,23.668965517241382
1979.0,8.0,13.1,34.1,15.5,24.77666666666666
1979.0,10.0,4.6,37.6,17.5,26.70666666666666
1979.0,11.0,107.1,36.3,18.6,26.393103448275866
1979.0,12.0,0.0,34.7,18.3,25.7
1980.0,1.0,212.49999999999997,33.5,18.4,24.98
1980.0,2.0,266.90000000000003,32.3,19.6,24.5
1980.0,3.0,180.8,31.3,18.0,24.026666666666664
1980.0,4.0,25.2,32.8,17.2,24.8
1980.0,5.0,15.4,33.1,16.9,25.486666666666665
1980.0,6.0,6.4,33.9,16.5,24.73103448275862
1980.0,7.0,1.1,34.6,15.6,25.070000000000004
