Ano,Trimestre,Chuva,Tmax,Tmin,Tmean
1973.0,2.0,505.59999999999997,32.3,16.8,24.21310344827586
1973.0,3.0,123.5,36.2,14.8,24.423928329952673
1973.0,4.0,167.2,36.2,16.7,26.272796934865898
1974.0,1.0,1066.2,34.3,18.8,24.05753086419753
1974.0,2.0,416.4,31.0,14.2,23.280727969348657
1974.0,3.0,7.699999999999999,37.6,13.5,24.152758620689657
1974.0,4.0,121.2,34.9,16.2,25.375862068965517
1975.0,1.0,679.8,35.9,17.6,24.225993265993264
1975.0,2.0,167.89999999999998,31.0,16.7,23.562301797819035
1975.0,3.0,29.0,34.1,13.0,23.79233716475096
1975.0,4.0,100.9,36.7,15.6,25.91647509578544
1976.0,1.0,607.6000000000001,34.9,16.8,24.476193212917348
1976.0,2.0,106.30000000000001,32.9,12.7,23.581922398589068
1976.0,3.0,45.9,34.7,12.6,24.708661740558295
1976.0,4.0,255.4,34.6,10.4,24.542066532871132
1977.0,1.0,551.5,33.1,18.2,24.235802469135805
1977.0,2.0,234.99999999999994,30.9,15.1,23.71620689655172
1977.0,3.0,60.89999999999999,34.0,13.0,24.121187739463604
1977.0,4.0,90.2,36.9,16.9,26.30624521072797
1978.0,1.0,677.3,35.7,18.0,24.470123456790123
1978.0,2.0,422.69999999999993,31.3,15.2,23.444904214559386
1978.0,3.0,60.9,33.7,13.3,24.097453580901856
1978.0,4.0,67.2,36.1,16.8,26.198122605363988
1979.0,1.0,287.8,32.9,18.4,24.418888888888887
1979.0,2.0,7.999999999999999,31.1,16.9,23.621405228758174
1979.0,3.0,19.3,37.6,15.0,25.050766283524904
1979.0,4.0,111.69999999999999,37.6,17.5,26.266590038314177
1980.0,1.0,660.2,33.5,18.0,24.50222222222222
1980.0,2.0,47.0,33.9,16.5,25.00590038314176
1980.0,3.0,6.4,37.1,15.6,25.801762452107283
1980.0,4.0,288.2,36.9,16.9,25.721800766283526
1981.0,1.0,451.99999999999994,36.4,16.8,25.108395061728398
1981.0,2.0,68.9,33.2,14.4,24.336628352490422
1981.0,3.0,2.4000000000000004,35.8,13.4,25.212619047619047
1981.0,4.0,45.5,37.3,16.8,27.822107279693483
1982.0,1.0,243.4,34.5,19.6,25.49399056881816
1982.0,2.0,176.7,33.4,15.8,24.768111658456487
1982.0,3.0,0.4,35.3,14.6,25.83031609195403
1982.0,4.0,102.3,37.0,18.0,27.612512077294685
1983.0,1.0,599.4,35.4,17.9,25.40469135802469
1983.0,2.0,65.60000000000001,35.5,14.6,25.1545894909688
1983.0,3.0,5.3,37.9,14.8,26.111187739463602
1983.0,4.0,55.6,36.5,15.8,27.75214559386973
1984.0,1.0,384.1,35.1,19.4,25.635079365079367
1984.0,2.0,570.9,31.8,13.7,23.817011494252878
1984.0,3.0,3.1,36.6,15.4,25.117318007662835
1984.0,4.0,79.4,37.3,18.9,27.203103448275865
1985.0,1.0,907.5,34.9,19.4,24.80345679012346
1985.0,2.0,610.7,30.9,16.8,23.52789272030651
1985.0,3.0,11.3,35.1,14.9,24.46028985507246
1985.0,4.0,339.0999999999999,35.6,18.1,26.17904214559387
1986.0,1.0,582.9000000000001,32.7,18.4,24.296781609195403
1986.0,4.0,269.20000000000005,36.0,17.9,26.050166028097063
1987.0,2.0,194.29999999999995,33.0,16.1,24.64604462474645
1987.0,3.0,26.299999999999997,36.5,15.2,25.72061302681992
1987.0,4.0,23.5,37.6,17.3,27.956206896551723
1988.0,1.0,671.0,35.8,18.8,25.966111111111108
1988.0,2.0,363.1,32.3,15.0,24.305747126436785
1988.0,3.0,3.4000000000000004,36.4,16.4,24.852452107279692
1988.0,4.0,234.1,36.5,18.1,26.676130268199234
1989.0,1.0,762.1,33.3,18.6,24.491851851851848
1989.0,2.0,294.8,31.9,12.7,23.526436781609195
1989.0,3.0,30.199999999999996,35.8,12.7,24.401149425287358
1989.0,4.0,383.3,36.3,18.4,26.019761600681147
1990.0,1.0,251.39999999999998,33.9,17.9,25.151758194976583
1990.0,2.0,373.3,33.5,15.7,24.77022222222222
1990.0,3.0,51.3,36.1,15.7,25.86624521072797
1990.0,4.0,100.6,36.7,19.3,27.359497658578118
1991.0,1.0,558.6,34.9,18.8,25.512469135802473
1991.0,2.0,202.89999999999998,33.6,17.2,24.75632183908046
1991.0,3.0,2.1,35.1,15.6,24.988199233716475
1991.0,4.0,24.6,36.3,17.1,27.110344827586207
1992.0,2.0,102.4,34.8,16.8,24.889693486590037
1992.0,3.0,61.199999999999996,35.9,15.9,25.349463601532566
1992.0,4.0,51.900000000000006,36.1,16.2,27.360555555555553
1993.0,1.0,389.9,36.3,19.8,26.358237547892717
1993.0,2.0,108.29999999999998,34.5,17.7,25.481759715380406
1993.0,3.0,31.3,36.6,17.5,26.242911877394636
1993.0,4.0,95.0,37.1,19.6,27.949348659003835
1994.0,1.0,458.0,36.7,19.8,25.157530864197525
1994.0,2.0,315.09999999999997,32.4,17.0,24.399272030651343
1994.0,3.0,2.9,36.5,16.6,25.20436781609195
1994.0,4.0,378.8,36.7,18.7,26.154691358024692
1995.0,1.0,653.5,34.7,18.7,25.286913580246914
1995.0,2.0,300.7,31.9,16.5,24.51873563218391
1995.0,3.0,36.8,35.3,17.3,25.321685823754787
1995.0,4.0,47.3,37.1,17.6,27.46708812260536
1996.0,1.0,787.1999999999999,35.9,19.1,25.35530864197531
1996.0,2.0,209.39999999999998,32.4,16.5,24.507701149425287
1996.0,3.0,26.5,35.3,15.7,25.33195402298851
1996.0,4.0,310.90000000000003,36.5,19.1,26.560076628352494
1997.0,1.0,608.1,34.9,19.0,25.19320987654321
1997.0,2.0,146.3,32.3,14.6,24.253409961685822
1997.0,3.0,27.899999999999995,37.5,16.0,25.389885057471265
1997.0,4.0,104.3,38.5,18.1,27.80080459770115
1998.0,1.0,438.1,34.9,20.0,26.55012345679012
1998.0,2.0,151.29999999999998,35.3,18.0,26.63808429118774
1998.0,3.0,1.6,36.3,17.6,26.85666666666667
1998.0,4.0,164.6,37.7,18.2,28.61348659003831
1999.0,1.0,716.5999999999999,35.3,19.4,25.429012345679013
1999.0,2.0,228.29999999999998,33.1,16.2,24.732068965517243
1999.0,3.0,5.2,35.8,15.5,25.780306513409954
1999.0,4.0,118.09999999999998,37.6,18.2,27.08249042145594
2000.0,1.0,471.4,33.5,19.8,25.190484400656814
2000.0,2.0,314.59999999999997,33.6,16.7,24.946283524904217
2000.0,3.0,38.3,37.1,16.0,25.826015325670497
2000.0,4.0,124.99999999999999,36.9,19.1,27.759923371647506
2001.0,1.0,549.9,35.3,19.4,25.766441038739888
2001.0,2.0,105.0,34.5,18.0,25.29310344827586
2001.0,3.0,27.8,37.7,16.2,26.18295019157088
2001.0,4.0,182.49999999999997,37.7,19.8,27.94731800766284
2002.0,1.0,499.70000000000005,36.2,19.8,25.130864197530865
2002.0,2.0,118.69999999999999,33.0,17.6,25.242337164750953
2002.0,3.0,109.39999999999999,36.5,16.1,25.935517241379312
2002.0,4.0,85.5,37.3,20.0,28.34413793103448
2003.0,1.0,634.7,37.1,19.2,26.072222222222223
2003.0,2.0,157.3,33.4,17.8,25.358888888888888
2003.0,3.0,10.5,37.4,15.8,26.420306513409965
2003.0,4.0,138.20000000000002,38.0,19.9,28.602107279693485
2004.0,1.0,1148.3999999999999,37.0,19.4,25.478809523809527
2004.0,2.0,252.20000000000002,32.9,16.4,24.77590038314176
2004.0,3.0,11.5,36.1,15.6,25.328084291187736
2004.0,4.0,39.0,38.1,18.5,27.998275862068965
2005.0,1.0,656.1,36.9,19.9,26.874786324786317
2005.0,2.0,143.1,33.0,18.2,25.135785440613024
2005.0,3.0,4.1,36.3,16.2,25.384022988505752
2005.0,4.0,194.4,37.7,20.2,27.94206896551724
2006.0,1.0,511.90000000000003,37.1,19.2,26.037407407407404
2006.0,2.0,257.4000000000001,33.2,17.6,24.477509578544062
2006.0,3.0,7.5,37.1,15.8,25.365555555555556
2006.0,4.0,56.8,37.7,18.2,28.156245210727974
2007.0,1.0,553.9000000000001,36.6,19.2,25.86567901234568
2007.0,2.0,224.8,34.8,17.0,24.99295019157088
2007.0,3.0,0.5,37.4,15.0,25.660766283524904
2007.0,4.0,62.89999999999999,38.1,19.0,28.117203065134095
2008.0,1.0,1070.3,35.3,18.2,24.922785987958406
2008.0,2.0,232.79999999999998,32.1,15.4,23.99053639846743
2008.0,3.0,18.5,37.1,14.9,24.807701149425288
2008.0,4.0,133.0,38.6,16.4,27.744367816091955
2009.0,1.0,312.0,36.7,18.3,25.71827160493827
2009.0,2.0,662.1,32.1,16.3,24.351417624521076
2009.0,3.0,53.6,37.5,15.9,25.067394636015326
