Ano,Chuva,Tmax,Tmin,Tmean
1973,1052.1999999999998,36.2,-99.0,2.1890441944802994
1974,1554.4000000000003,37.6,13.5,24.096724718448858
1975,1098.1,36.7,-99.0,23.811435040055724
1976,969.0999999999999,34.9,-99.0,24.0694842513808
1977,901.8,36.9,13.0,24.466493672355742
1978,1187.5,36.1,-99.0,24.4278207360966
1979,1003.1999999999999,37.6,15.0,-26.847948661114803
1980,899.8,37.1,15.6,25.303793103448275
1981,529.0999999999998,37.3,13.4,25.023156855915477
1982,493.3,37.1,14.6,17.23008243353071
1983,671.2000000000002,37.9,14.6,24.538789673115687
1984,1015.8000000000001,36.6,13.7,25.267654873861773
1985,1543.2000000000003,36.5,-99.0,2.677389991872752
1986,1124.0,35.1,13.9,0.07535632183908376
1987,635.7000000000002,37.6,15.2,25.01896168582375
1988,1154.6000000000001,36.5,15.0,25.488521421107624
1989,1293.7999999999997,36.3,12.7,13.483963775687913
1990,774.8999999999999,36.3,15.7,14.334833623592242
1991,799.7,36.0,15.6,14.202000464414256
1992,817.6999999999999,36.7,15.9,14.204402149574564
1993,618.3,37.1,17.5,25.992769070010453
1994,773.0999999999999,36.7,16.6,25.052105683269474
1995,1016.8,37.1,16.5,25.494539649367233
1996,1270.6,36.5,15.7,25.39440496923256
1997,837.5000000000001,38.5,14.6,25.4550238012307
1998,623.6,37.3,17.6,27.046522698246836
1999,989.8999999999999,37.6,15.5,25.632875885289675
2000,835.7999999999998,37.1,16.0,25.456203164651438
2001,719.8000000000001,37.7,16.2,25.44363752467201
2002,798.2,37.3,16.1,25.9789608730988
2003,839.9,38.0,15.8,26.431870428422155
2004,1444.6999999999998,38.1,15.6,25.69211001642036
2005,803.6999999999999,37.7,-99.0,26.28387902008592
2006,811.6000000000001,37.7,15.8,25.77516544757924
2007,805.0000000000001,38.1,15.0,26.008466271914543
2008,1326.8999999999999,38.6,-99.0,25.18426033736379
2009,1093.2999999999997,37.5,15.9,25.466080343666555
2010,918.9999999999999,38.7,16.8,26.05527342389411
2011,1307.5,37.3,-99.0,25.120479760119938
2012,486.2000000000001,37.8,15.6,26.26513360203015
2013,1060.8000000000002,37.6,15.8,26.005913154533847
2014,1039.9,37.7,15.3,25.67237780099849
2015,1000.0,38.8,15.4,26.232949030535234
2016,574.6,39.2,-99.0,26.618945364979847
2017,794.7000000000002,38.1,16.0,26.13712295367468
2018,879.4,38.0,14.5,25.967016199502588
